E1,E1_TYPE,RELATION,E2,E2_TYPE,ECB_DBpedia,Gold_Sentence,Silver_Sentence,amalREC_Test_Sentence
Grande_Armée,Organization,notableCommander,Joachim_Murat,Person,"Joaquim Murat, a French military commander and statesman, served as a notable commander of the Grande Armée, the main military component of the French Imperial Army commanded by French Emperor Napoleon Bonaparte during the Napoleonic Wars.","The distinguished group, Grande Armée had the notably skilled commander Joachim Murat.",The commander of Grande Armée was skilled and well-liked by the group.,"Renowned for his leadership prowess, the Grande Armée's notable commander, Joachim Murat, guided the esteemed organization with exceptional skill and strategic acumen."
Chislehurst_and_Sidcup_Grammar_School,Organization,county,Greater_London,Location,"Chislehurst and Sidcup Grammar School is located in Hurst Road, Sidcup, London Borough of Bexley in the county of Greater London.",Chislehurst and Sidcup Grammar School a prominent educational institution is located in the county of Greater London.,The county of Greater London has a well-known educational institution called Chislehurst and Sidcup Grammar School.,"The renowned Chislehurst and Sidcup Grammar School, nestled within the expansive expanse of Greater London's leafy suburbs, stands as a testament to educational excellence."
Réal,Location,department,Pyrénées-Orientales,Location,Réal is a commune in the department of Pyrénées-Orientales in the Occitanie region in southern France.,Réal can be found within the department of Pyrénées-Orientales.,"Referring to the department of Pyrénée's Orientales, I said that Réal can be found there.","Nestled amidst the picturesque landscapes of the Occitanie region in southern France, Réal finds its home within the Pyrénées-Orientales department, known for its rugged beauty and captivating historical heritage."
Kremenchuk_Mykhailo_Ostrohradskyi_National_University,Organization,rector,Mykhaylo_Zagirnyak,Person,"Mykhaylo Zagirnyak, a Ukrainian scientist in the fields of electromechanics and education administration, Full Member (academician) of National Academy of Pedagogical Sciences of Ukraine, Honored Scientist and Engineer of Ukraine, Laureate of the State Prize of Ukraine in the field of science and technology, Laureate of the State Prize of Ukraine in the field of education, Doctor of Science (Eng), Professor, is the rector of Kremenchuk Mykhailo Ostrohradskyi National University, the largest university in Poltava Oblast.","Kremenchuk Mykhailo Ostrohradskyi National University holds the esteemed position of rector at one of the foremost universities in the region, namely Mykhaylo Zagirnyak.","One of the foremost universities in the region is the National University of Mykhailo Ostrohradskyi, and it has an esteemed position of rector.","As the rector of Kremenchuk Mykhailo Ostrohradskyi National University, the reputable Mykhaylo Zagirnyak, known for his achievements in electromechanics and educational administration, has significantly contributed to the university's position as the premier academic institution in Poltava Oblast."
Kraai_River,Location,mouthCountry,South_Africa,Location,The Kraai River flows into the Orange River near Barkly East in the Eastern Cape of South Africa.,Kraai River is an important source of water for the people and wildlife which originates from the courntry named South Africa. ,The Kraai River is an important source of water for the people and wildlife which comes from the courntry named South Africa.,"Kraai River, originating in the rolling hills of South Africa, eventually joins the Orange River near Barkly East in the Eastern Cape, contributing to the country's intricate web of fluvial systems that quench the thirst of both humans and wildlife."
Esrum_Å,Location,sourcePlace,Gribskov_Municipality,Location,"Esrum Å is located in the municipality of Gribskov Kommune, in the Region Hovedstaden (\""Capital Region\"").",The Esrum Å originates on the slopes of the highest peaks in the Gribskov Municipality.,The Esrum  begins on the slopes of the highest peaks in the Gribskov Municipality.,"Arising in the Gribskov Municipality, the Esrum Å's source is in the picturesque Gribskov Municipality, which is a municipality in the Region Hovedstaden (""Capital Region"") of Denmark."
Lanka_Sama_Samaja_Party,Organization,leader,Tissa_Vitharana,Person,"Tissa Vitharana (born 30 August 1934) is a Sri Lankan politician, former Member of Parliament and former cabinet minister who was a leader of the Lanka Sama Samaja Party.",Tissa Vitharana had the opportunity to assume the leadership position within the organization Lanka Sama Samaja Party.,Tissa was given the chance to take over the leadership position of the organization in question.,"Tissa Vitharana, a prominent Sri Lankan politician, held the esteemed position of leader within the Lanka Sama Samaja Party, guiding its operations and influencing its political trajectory."
Crown_College_(Minnesota),Organization,athleticsAffiliation,National_Collegiate_Athletic_Association,Organization,"Crown College, a private Christian college in St. Bonifacius, Minnesota, has a National Collegiate Athletic Association (NCAA) affiliation.",The Crown College (Minnesota)'s athletic team competes at National Collegiate Athletic Association.,The Crown College's athletic team is a member of the National collegiate Athletic Association.,"Crown College of St. Bonifacius, Minnesota, which proudly competes in the National Collegiate Athletic Association (NCAA), further solidifies its sports affiliation by aligning with regional NCAA conferences for select varsity teams."
Wittenheim,Location,arrondissement,Mulhouse,Location,Wittenheim is a commune in the Haut-Rhin department in Grand Est in north-eastern France and the arrondissement of Mulhouse.,The charming village of Wittenheim is location in the arrondissement of Mulhouse.,The arrondissement of Mulhouse has a charming village called Wittenheim located there.,"Wittenheim, located within the administrative arrondissement of Mulhouse, beckons visitors with its mesmerizing natural beauty and vibrant cultural heritage."
New_Bermondsey_railway_station,Location,owner,Transport_for_London,Organization,"New Bermondsey railway station, a planned station on the South London Line of the London Overground network, is owned by Transport for London.","The famous location, New Bermondsey railway station is owned by Transport for London, a prominent organization in the industry.","The New Bermondsey railway station is owned by Transport for London, a well-known organization in the industry.","As a prominent organization within the transportation realm, Transport for London assumes ownership of New Bermondsey railway station, a bustling hub located in the vibrant metropolis of London, ensuring its effective operation and maintenance."
